,load_kW,pv_kW,wind_kW,ch_kW,dis_kW,grid_import_kW,soc_kWh,spill_kW,ren_potential_kW,ren_used_kW,battery_net_kW
2019-01-01 00:00:00,112.76825726452232,0.0,549.30824334,0.0,0.0,0.0,0.0,436.53999,549.30824334,112.76825334,0.0
2019-01-01 01:00:00,86.80312516274499,0.0,561.54227994,0.0,0.0,0.0,0.0,474.73916,561.54227994,86.80311993999993,0.0
2019-01-01 02:00:00,76.5705743787544,0.0,574.3880183699999,0.0,0.0,0.0,0.0,497.81745,574.3880183699999,76.57056836999993,0.0
2019-01-01 03:00:00,71.52875694986686,0.0,586.01035314,0.0,0.0,0.0,0.0,514.4816,586.01035314,71.52875314000005,0.0
2019-01-01 04:00:00,80.55950432768705,0.0,594.57417876,0.0,0.0,0.0,0.0,514.01468,594.57417876,80.55949876,0.0
2019-01-01 05:00:00,100.36035196814184,0.0,596.4092842499999,0.0,0.0,0.0,0.0,496.04894,596.4092842499999,100.36034424999991,0.0
2019-01-01 06:00:00,123.20854342177711,0.0,600.0794952299999,0.0,0.0,0.0,0.0,476.87096,600.0794952299999,123.20853522999988,0.0
2019-01-01 07:00:00,128.36726433011276,0.0,601.91460072,0.0,0.0,0.0,0.0,473.54734,601.91460072,128.36726071999993,0.0
2019-01-01 08:00:00,118.94568341692725,19.9698321008,604.9731098699999,0.0,0.0,0.0,0.0,505.99726,624.9429419707999,118.94568197079991,0.0
2019-01-01 09:00:00,115.08476948945156,70.6612123803,606.19651353,0.0,0.0,0.0,0.0,561.77296,676.8577259102999,115.0847659102999,0.0
2019-01-01 10:00:00,102.38353673833397,103.6925981803,606.19651353,0.0,0.0,0.0,0.0,607.50558,709.8891117103,102.38353171029996,0.0
2019-01-01 11:00:00,103.41195405523509,114.5670022626,606.19651353,0.0,0.0,0.0,0.0,617.35157,720.7635157926,103.41194579259991,0.0
2019-01-01 12:00:00,107.55382702736303,93.9931676786,606.19651353,0.0,0.0,0.0,0.0,592.63586,700.1896812086,107.55382120859997,0.0
2019-01-01 13:00:00,113.63321343425451,71.5577785663,606.19651353,0.0,0.0,0.0,0.0,564.12108,677.7542920963,113.63321209629999,0.0
2019-01-01 14:00:00,116.91880284977518,0.28312616399999996,606.19651353,0.0,0.0,0.0,0.0,489.56084,606.479639694,116.91879969399997,0.0
2019-01-01 15:00:00,131.40630746600283,0.0,603.74970621,0.0,0.0,0.0,0.0,472.3434,603.74970621,131.40630621000003,0.0
2019-01-01 16:00:00,190.31579575090035,0.0,595.18588059,0.0,0.0,0.0,0.0,404.87009,595.18588059,190.31579059,0.0
2019-01-01 17:00:00,266.44998123013244,0.0,587.2337567999999,0.0,0.0,0.0,0.0,320.78378,587.2337567999999,266.44997679999994,0.0
2019-01-01 18:00:00,304.2810666817326,0.0,584.78694948,0.0,0.0,0.0,0.0,280.50589,584.78694948,304.28105947999995,0.0
2019-01-01 19:00:00,312.28567341807656,0.0,587.2337567999999,0.0,0.0,0.0,0.0,274.94809,587.2337567999999,312.28566679999994,0.0
2019-01-01 20:00:00,307.8228253272749,0.0,585.39865131,0.0,0.0,0.0,0.0,277.57583,585.39865131,307.82282131,0.0
2019-01-01 21:00:00,275.44168687232764,0.0,582.3401421599999,0.0,0.0,0.0,0.0,306.89846,582.3401421599999,275.4416821599999,0.0
2019-01-01 22:00:00,226.64550766703184,0.0,585.39865131,0.0,0.0,0.0,0.0,358.75315,585.39865131,226.64550131,0.0
2019-01-01 23:00:00,162.79662646223449,0.0,587.8454586299999,0.0,0.0,0.0,0.0,425.04884,587.8454586299999,162.79661862999995,0.0
2019-01-02 00:00:00,109.69628536874298,0.0,588.45716046,0.0,0.0,0.0,0.0,478.76088,588.45716046,109.69628045999997,0.0
2019-01-02 01:00:00,83.09304618527271,0.0,586.01035314,0.0,0.0,0.0,0.0,502.91731,586.01035314,83.09304314000002,0.0
2019-01-02 02:00:00,72.37608499081311,0.0,579.28163301,0.0,0.0,0.0,0.0,506.90555,579.28163301,72.37608300999995,0.0
2019-01-02 03:00:00,67.05141512302231,0.0,572.55291288,0.0,0.0,0.0,0.0,505.5015,572.55291288,67.05141287999999,0.0
2019-01-02 04:00:00,76.28842814129406,0.0,567.65929824,0.0,0.0,0.0,0.0,491.37087,567.65929824,76.28842823999997,0.0
2019-01-02 05:00:00,96.07075023289163,0.0,556.6486653,0.0,0.0,0.0,0.0,460.57792,556.6486653,96.07074529999994,0.0
2019-01-02 06:00:00,119.12581758035279,0.0,538.2976103999999,0.0,0.0,0.0,0.0,419.1718,538.2976103999999,119.12581039999992,0.0
2019-01-02 07:00:00,124.38762771938693,0.0,521.16995916,0.0,0.0,0.0,0.0,396.78233,521.16995916,124.38762915999996,0.0
2019-01-02 08:00:00,115.49395956433996,34.2016406112,493.03167498,0.0,0.0,0.0,0.0,411.73936,527.2333155912,115.49395559120006,0.0
2019-01-02 09:00:00,112.87299331401718,83.8218602369,440.42531759999997,0.0,0.0,0.0,0.0,411.37419,524.2471778368999,112.87298783689994,0.0
2019-01-02 10:00:00,101.15984795464874,113.2929345246,401.88810231,270.26879,0.0,0.0,0.0,143.7524,515.1810368346,371.42863683460007,-270.26879
2019-01-02 11:00:00,102.91315910094768,124.20508876209999,379.25513459999996,400.54707,0.0,0.0,263.42543,0.0,503.46022336209995,503.46022336209995,-400.54707
2019-01-02 12:00:00,107.60212422297178,111.97403847729998,368.85620349,10.142078,0.0,0.0,653.83042,363.08604,480.83024196729997,117.74420196729994,-10.142078
2019-01-02 13:00:00,114.1338827381909,76.349688892,355.39876323,0.25680316,0.0,0.0,663.7157,317.35777,431.748452122,114.39068212199999,-0.25680316
2019-01-02 14:00:00,117.4366900167671,0.3680640132,343.16472663,0.0065024012,0.0,0.0,663.966,226.0896,343.53279064320003,117.44319064320004,-0.0065024012
2019-01-02 15:00:00,131.85388472639104,0.0,308.90942415,0.00016464448,0.0,0.0,663.97234,177.05538,308.90942415,131.85404415,-0.00016464448
2019-01-02 16:00:00,190.80465229309516,0.0,254.46796127999997,4.1688915e-06,0.0,0.0,663.9725,63.663306,254.46796127999997,190.80465527999996,-4.1688915e-06
2019-01-02 17:00:00,266.8188358052596,0.0,206.75521854000002,0.0,60.063616,0.0,663.9725,0.0,206.75521854000002,206.75521854000002,60.063616
2019-01-02 18:00:00,304.6128701591457,0.0,170.66481057000001,0.0,133.94806,0.0,602.34853,0.0,170.66481057000001,170.66481057000001,133.94806
2019-01-02 19:00:00,312.67087406572466,0.0,143.13822822,0.0,169.53264,0.0,464.92072,0.0,143.13822822,143.13822822,169.53264
2019-01-02 20:00:00,308.5282346382278,0.0,127.23398063999998,0.0,181.29425,0.0,290.9839,0.0,127.23398063999998,127.23398063999998,181.29425
2019-01-02 21:00:00,276.7132805458812,0.0,128.4573843,0.0,102.32177,45.934125,104.97992,0.0,128.4573843,128.4573843,102.32177
2019-01-02 22:00:00,228.34780945413175,0.0,144.36163187999998,0.0,0.0,83.986177,0.0,0.0,144.36163187999998,144.36163187999998,0.0
2019-01-02 23:00:00,164.9143800285281,0.0,165.15949410000002,0.0,0.0,0.0,0.0,0.24511505,165.15949410000002,164.91437905,0.0
2019-01-03 00:00:00,112.79606738257137,0.0,186.56905815,0.0,0.0,0.0,0.0,73.772992,186.56905815,112.79606614999999,0.0
2019-01-03 01:00:00,86.86942483289016,0.0,193.29777828,0.0,0.0,0.0,0.0,106.42835,193.29777828,86.86942828,0.0
2019-01-03 02:00:00,76.2191556143163,0.0,193.29777828,0.0,0.0,0.0,0.0,117.07862,193.29777828,76.21915827999999,0.0
2019-01-03 03:00:00,71.25130961227718,0.0,197.57969108999998,0.0,0.0,0.0,0.0,126.32838,197.57969108999998,71.25131108999999,0.0
